title,date,summary,operator,passengers,crew,fatalities,survivors
British European Airways Flight 530,"August&#160;7,&#160;1946","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",British European Airways,10,5,3,12
AOA Douglas DC-4 <i>Flagship New England</i>,"October&#160;3,&#160;1946","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> (CFIT)",American Overseas Airlines,31,8,39,0
1946 KLM Douglas DC-3 Amsterdam accident,"November&#160;14,&#160;1946","Poor weather, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">CFIT</a>",KLM,21,5,26,0
TWA Flight 6963,"December&#160;28,&#160;1946","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">CFIT</a> due to an inaccurate altimeter caused by maintenance errors",Trans World Airlines,14,9,9,14
1947 BOAC Douglas C-47 crash,11 January 1947,"Multiple issues – crew route inexperience, weather, crew resource management, crew rostering oversight, shortfall in airfield radio capacity, pilot error",British Overseas Airways Corporation,11,5,8,8
1947 Croydon Dakota accident,25 January 1947,Loss of control,Aircraft registration,18,5,12,11
1947 KLM Douglas DC-3 Copenhagen accident,26 January 1947,Failure to properly prepare aircraft for flight,KLM,16,6,22,0
Eastern Air Lines Flight 605,"May&#160;30,&#160;1947",Loss of control for reasons unknown,Eastern Air Lines,49,4,53,0
Pennsylvania Central Airlines Flight 410,13 June 1947,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> flying below minimum recommended altitude",Pennsylvania Central Airlines,47,3,50,0
Pan Am Flight 121,"June&#160;19,&#160;1947","<a href=""/wiki/Turbine_engine_failure"" title=""Turbine engine failure"">Engine fire</a>",Pan American World Airways,26,10,15,21
<i>Kvitbjørn</i> disaster,28 August 1947,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Det Norske Luftfartsselskap,28,7,35,0
Pan Am Flight 923,"October&#160;26,&#160;1947","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">CFIT</a> for reasons unknown",Pan American World Airways,13,5,18,0
BSAA <i>Star Tiger</i> disappearance,30 January 1948,"<a href=""/wiki/List_of_aerial_disappearances"" class=""mw-redirect"" title=""List of aerial disappearances"">Disappearance</a>",British South American Airways,25,6,31,0
Pan Am Flight 1-10,15 April 1948,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> due to mechanical and/or electrical failure",Pan American World Airways,21,10,30,1
British European Airways Flight S200P,21 April 1948,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain (CFIT)</a>",British European Airways,16,4,0,20
United Airlines Flight 624,"June 17, 1948",In-flight fire (false warning) followed by crew incapacitation,United Airlines,39,4,43,0
1948 Northwood mid-air collision,4 July 1948,"<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",No. 99 Squadron RAF,25,7,32,0
<i>Miss Macao</i>,16 July 1948,"Hijacking resulting in crash, robbery",Macau Air Transport Company,23,3,25,1
Air France Latécoère 631 disappearance,1 August 1948,"Ditching, cause unknown",Air France,40,12,52,0
"Northwest Airlines<br />
Flight 421",29 August 1948,"<a href=""/wiki/Structural_failure"" class=""mw-redirect"" title=""Structural failure"">Structural failure</a>",Northwest Airlines,33,4,37,0
1948 Australian National Airways DC-3 crash,2 September 1948,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">CFIT</a>",Australian National Airways,10,3,13,0
<i>Bukken Bruse</i> disaster,2 October 1948,Loss of control while landing,Det Norske Luftfartselskap,38,5,19,26
1948 KLM Constellation air disaster,20 October 1948,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",KLM,30,10,40,0
BSAA Star Ariel disappearance,17 January 1949,"<a href=""/wiki/List_of_aerial_disappearances"" class=""mw-redirect"" title=""List of aerial disappearances"">Disappearance</a>",British South American Airways,13,7,20,0
1949 Exhall mid-air collision,19 February 1949,"<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",Royal Air Force,6,4,10,0
1949 Strato-Freight Curtiss C-46A crash,7 June 1949,Maintenance error using sparkplugs not approved for the engine type,Aircraft registration,75,6,53,28
Standard Air Lines Flight 897R,"July&#160;12,&#160;1949","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">CFIT</a>",Standard Air Lines,44,4,35,13
1949 Manchester BEA Douglas DC-3 accident,19 August 1949,Pilot error,British European Airways,29,3,24,8
Eastern Air Lines Flight 537,"November 1, 1949","<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",Aircraft registration,51,4,55,0
Hurum air disaster,20 November 1949,unknown,Aircraft registration,31,4,34,1
American Airlines Flight 157,29 November 1949,"Engine failure, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",American Airlines,41,5,28,18
1950 Sverdlovsk plane crash,5 January 1950,Landing failure,Soviet Air Force,13,6,19,0
Northwest Orient Airlines Flight 307,7 March 1950,"Pilot error, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">controlled flight into terrain</a>",Northwest Orient Airlines,10,3,15,0
Llandow Air Disaster,12 March 1950,"<a href=""/wiki/Stall_(flight)"" class=""mw-redirect"" title=""Stall (flight)"">Stall</a>",Airflight,78,5,80,3
TWA Flight 903,"August&#160;31,&#160;1950",Forced landing due to catastrophic engine failure and fire,TWA,48,7,55,0
1950 Heathrow BEA Vickers Viking crash,31 October 1950,Crash during attempted landing in thick fog,British European Airways,26,4,28,2
Air India Flight 245,3 November 1950,"<a href=""/wiki/Controlled_Flight_into_Terrain"" class=""mw-redirect"" title=""Controlled Flight into Terrain"">Controlled Flight into Terrain</a> (CFIT) in poor weather",Air India,40,8,48,0
Air India Flight 101,24 January 1966,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Air India,106,11,117,0
Tete de I'Obiou accident,13 November 1950,CFIT,Curtiss-Reid Flying Service (page does not exist),51,7,58,0
Pan Am Flight 151,"June 22, 1951","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Pan Am World Airways,31,9,40,0
1951 Canadian Pacific Air Lines Douglas DC-4 disappearance,21 July 1951,"<a href=""/wiki/List_of_missing_aircraft"" title=""List of missing aircraft"">Disappearance</a>",Canadian Pacific Air Lines,31,6,37,0
United Airlines Flight 615,"August 24, 1951","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",United Airlines,44,6,50,0
Tuszyn air disaster,15 November 1951,"Engine failure, loss of control",LOT Polish Airlines,15,3,18,0
1951 Miami Airlines C-46 crash,16 December 1951,In-flight engine fire,Miami Airlines (page does not exist),52,4,56,0
Continental Charters Flight 44-2,"December 29, 1951","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain (CFIT)</a>",Aircraft registration,36,4,26,14
American Airlines Flight 6780,"January 22, 1952","<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a> on approach for reasons unknown",American Airlines,20,3,30,0
National Airlines Flight 101,11&#160;February&#160;1952,"Propeller failure, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>; aircraft destroyed",National Airlines (1934–1980),59,4,33,34
Pan Am Flight 526A,11 April 1952,"engine stoppage, water landing",Pan American World Airways,64,5,52,17
1952 Transportes Aéreos Nacional Douglas C-47 mid-air fire,12 August 1952,In-flight fire,Transportes Aéreos Nacional,20,4,24,0
1953 Nutts Corner BEA Vickers Viking accident,5 January 1953,Pilot error,British European Airways,31,4,27,8
1953 Skyways Avro York disappearance,2 February 1953,Unexplained disappearance,Skyways Limited,33,6,39,0
Transocean Air Lines Flight 512,12 July 1953,Undetermined (aircraft never recovered),Transocean Airlines,50,8,58,0
Air France Flight 152,"August&#160;3,&#160;1953","Following engine rupture caused probably by propeller blade break inflight, the airliner made an emergency water landing and sank over an hour.",Air France,34,8,4,38
Air France Flight 178,1 September 1953,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> (CFIT)",Air France,33,9,42,0
American Airlines Flight 723,"September 16, 1953",Pilot error,American Airlines,25,3,28,0
BCPA Flight 304,29 October 1953,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",British Commonwealth Pacific Airlines,11,8,19,0
BOAC Flight 781,10&#160;January&#160;1954,In-flight metal fatigue failure leading to explosive decompression and mid-air break-up.,British Overseas Airways Corporation,29,6,35,0
1954 BOAC Lockheed Constellation crash,13 March 1954,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",British Overseas Airways Corporation,31,9,33,7
1954 Cathay Pacific Douglas DC-4 shootdown,23 July 1954,"Attacked by <a href=""/wiki/PLAAF"" class=""mw-redirect"" title=""PLAAF"">PLAAF</a> <a href=""/wiki/Lavochkin_La-11"" title=""Lavochkin La-11"">La-11</a> fighters, crashed into the sea",Cathay Pacific Airways,13,6,10,9
1954 Prestwick air disaster,25 December 1954,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",British Overseas Airways Corporation,25,11,28,8
Pan Am Flight 845/26,"March&#160;26,&#160;1955","Engine separation, water ditching",Pan American World Airways,15,8,4,19
El Al Flight 402,"July&#160;27,&#160;1955",Shot down,El Al,51,7,58,0
United Airlines Flight 629,"November 1, 1955",Bombing,United Airlines,39,5,44,0
TWA Flight 400,"April 1, 1956",Mechanical failure followed by pilot error,Trans World Airlines,33,3,22,14
Linea Aeropostal Venezolana Flight 253,"June&#160;20,&#160;1956",Loss of control after fire,Linea Aeropostal Venezolana,64,10,74,0
1956 Kano Airport BOAC Argonaut crash,24 June 1956,"<a href=""/wiki/Microburst"" title=""Microburst"">Microburst</a>",British Overseas Airways Corporation,38,7,32,13
"United Airlines Flight 718<br />
TWA Flight 2","June 30, 1956","<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a> due to inadequate <a href=""/wiki/Air_traffic_control"" title=""Air traffic control"">air traffic control</a> system",Trans World Airlines,53,5,58,0
Linea Aeropostal Venezolana Flight 253,"November&#160;27,&#160;1956","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Aeropostal Alas de Venezuela,18,7,25,0
Northeast Airlines Flight 823,"February 1, 1957","<a href=""/wiki/Spatial_disorientation"" title=""Spatial disorientation"">spatial disorientation</a>",Northeast Airlines,95,6,20,81
1957 Blackbushe Viking accident,1 May 1957,EFTO (engine failure on take-off),Eagle Aviation Limited,30,5,34,1
KLM Flight 844,,Pilot error or possible technical failure (undetermined),KLM,59,9,58,10
Maritime Central Airways Flight 315,"August 11, 1957",Loss of control in severe weather conditions,Maritime Central Airways,73,6,79,0
Pan Am Flight 7,"November&#160;8,&#160;1957","Crash, wreckage disappearance",Pan American World Airways,36,8,44,0
1957 Aquila Airways Solent crash,15 November 1957,Engine stoppage,Aquila Airways,50,8,45,13
Munich air disaster,6 February 1958,"Take-off failure, slush on the runway",British European Airways,38,6,23,21
Winter Hill air disaster,27 February 1958,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Silver City Airways,39,3,35,7
Capital Airlines Flight 67,"April 6, 1958","Stall, loss of control",Capital Airlines,44,3,47,0
1958 Dan-Air Avro York crash,25 May 1958,Engine failure and on-board fire,Dan-Air,0,5,4,1
1958 Central African Airways plane crash,9 August 1958,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Central African Airways,47,7,36,18
KLM Flight 607-E,14 August 1958,Undetermined,KLM,91,8,99,0
Northeast Airlines Flight 258,"August&#160;15,&#160;1958","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Northeast Airlines,31,3,25,9
1958 London Vickers Viking accident,2 September 1958,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> following engine failure",Independent Air Travel (page does not exist),0,3,7,0
Southeast Airlines Flight 308,8 January 1959,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Southeast Airlines (1956) (page does not exist),7,3,10,0
Lufthansa Flight 502,11 January 1959,Controlled flight into terrain,Lufthansa,29,10,36,3
1959 Turkish Airlines Gatwick crash,17 February 1959,CFIT due to weather conditions,Turkish Airlines,16,8,14,10
G-AGRH <i>Zephyr</i>,23 April 1959,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> (mountains)",Air Charter Limited,0,12,12,0
TWA Flight 891,26 June 1959,"<a href=""/wiki/Lightning_strike"" title=""Lightning strike"">Lightning strike</a>",Trans World Airlines,59,9,68,0
Transair Douglas Dakota accident,19 August 1959,"<a href=""/wiki/Visual_flight_rules"" title=""Visual flight rules"">VFR</a> into <a href=""/wiki/Instrument_meteorological_conditions"" title=""Instrument meteorological conditions"">IMC</a><br />
<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Transair (UK),29,3,32,0
TAI Flight 307,24 September 1959,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Transports Aériens Intercontinentaux,56,9,54,11
Piedmont Airlines Flight 349,"October 30, 1959","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Piedmont Airlines (1948-1989),24,3,26,1
National Airlines Flight 967,"November 16, 1959","In-flight explosion (Bombing suspected, but not proven)",National Airlines (1934–1980),36,6,42,0
SAS Flight 871,19 January 1960,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Scandinavian Airlines,35,7,42,0
Northwest Orient Airlines Flight 710,17 March 1960,In-flight disintegration,Northwest Orient Airlines,57,6,63,0
Trans-Australia Airlines Flight 538,10 June 1960,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Trans Australia Airlines,25,4,29,0
Ethiopian Air Lines Flight 372,15 July 1960,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Ethiopian Airlines,8,3,1,10
Austrian Airlines Flight 901,26 September 1960,Crashed short of runway,Austrian Airlines,31,6,31,6
Cal Poly football team C-46 crash,"October 29, 1960","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>; overloading",Aircraft registration,45,3,22,26
"1960 New York mid-air collision<br />
<span style=""font-weight:normal;""><small>United Airlines Flight 826&#160;<b>·</b> Trans World Airlines Flight 266</small></span>",16 December 1960,"<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",Trans World Airlines,77,7,84,0
Aero Flight 311,"January 3, 1961","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/Stall_(flight)"" class=""mw-redirect"" title=""Stall (flight)"">stall</a>",Finnair,22,3,25,0
"<a href=""/wiki/Sabena"" title=""Sabena"">Sabena</a> Flight SN548","February 15, 1961",Possible mechanical failure,Sabena,61,11,73,0
Air France Flight 406,10 May 1961,Bombing,Air France,69,9,78,0
KLM Flight 823,12 June 1961,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",KLM,29,7,20,16
United Airlines Flight 859,"July 11, 1961",Mechanical failure combined with pilot error,United Airlines,115,7,18,105
Holtaheia Accident,9 August 1961,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",British Eagle,36,3,39,0
TWA Flight 529,"September 1, 1961",Mechanical failure leading to loss of control,Trans World Airlines,73,5,78,0
1961 President Airlines Douglas DC-6 crash,"September&#160;10,&#160;1961","Possible pilot error due to instrument failure and bad weather, causing a loss of control",Aircraft registration,77,6,83,0
1961 Ndola United Nations DC-6 crash,"September&#160;18,&#160;1961","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Transair Sweden,11,5,16,0
Turkish Airlines Flight 835,23 September 1961,"Struck hill on <a href=""/wiki/Final_approach_(aeronautics)"" title=""Final approach (aeronautics)"">final approach</a>",Turkish Airlines,25,4,28,1
1961 Derby Aviation Dakota crash,7 October 1961,Navigational error CFIT,Derby Aviation,31,3,34,0
Imperial Airlines Flight 201/8,"November 8, 1961","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Imperial Airlines,74,5,77,2
Aerolíneas Argentinas Flight 322,23 November 1961,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Aerolíneas Argentinas,40,12,52,0
Ansett-ANA Flight 325,30 November 1961,Structural failure of wing in thunderstorm,Ansett-ANA,11,4,15,0
1962 Avensa Fairchild F-27 accident,25 February 1962,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Avensa,20,3,23,0
American Airlines Flight 1,"March 1, 1962","Improper maintenance, manufacturing defect leading to mechanical failure",American Airlines,87,8,95,0
Flying Tiger Line Flight 739,"March 16, 1962","Disappearance, possible in-flight explosion",Flying Tiger Line,96,11,107,0
1962 Channel Airways Dakota accident,6 May 1962,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",East Anglian Flying Services,15,3,12,5
Continental Airlines Flight 11,"May 22, 1962","Suicide bombing (<a href=""/wiki/Suicide"" title=""Suicide"">suicide</a> committed as an <a href=""/wiki/Insurance_fraud"" title=""Insurance fraud"">insurance fraud</a> by a passenger)",Continental Airlines,37,8,45,0
Aeroflot Flight 415,28 July 1962,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">CFIT</a> due to crew and ATC errors",Aeroflot,74,7,81,0
Aeroflot Flight 3,3&#160;September&#160;1962,Loss of control for unknown reasons,Aeroflot,79,7,86,0
1962 LOT Vickers Viscount Warsaw crash,19 December 1962,Loss of control on approach,LOT Polskie Linie Lotnicze,28,5,33,0
New Zealand National Airways Corporation Flight 441,3 July 1963,"Wind shear, Controlled flight into terrain",National Airways Corporation (New Zealand),20,3,23,0
Aero Flight 217,"November 8, 1963","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Finnair,22,3,22,3
Eastern Air Lines Flight 304,"February 25, 1964",Pitch Trim Failure,Eastern Air Lines,51,7,58,0
British Eagle International Airlines Flight 802,29 February 1964,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",British Eagle,75,8,83,0
Civil Air Transport Flight 106,20&#160;June&#160;1964,Engine failure and loss of control,Civil Air Transport,52,5,57,0
Bonanza Air Lines Flight 114,"November 15, 1964","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> (CFIT)",Bonanza Air Lines,26,3,29,0
Linjeflyg Flight 277,20 November 1964,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Linjeflyg,39,4,31,12
British United Airways Flight 1030X,14 April 1965,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> in fog",Jersey Airlines,23,4,26,1
Pakistan International Airlines Flight 705,20 May 1965,"Crashed during approach, excessive descent",Pakistan International Airlines,114,13,121,6
Canadian Pacific Air Lines Flight 21,"July 8, 1965",Explosion of a device,Canadian Pacific Air Lines,46,6,52,0
1965 Skyways Coach-Air Avro 748 crash,10 July 1965,"Defective infrastructure, pilot error",Skyways Coach-Air,48,4,0,52
Pan Am Flight 292,17 September 1965,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">controlled flight into terrain</a>",Pan American World Airways,21,9,30,0
"Eastern Air Lines Flight 853<br />
TWA Flight 42","December 4, 1965","<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a> due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Trans World Airlines,49,5,4,50
Air India Flight 101,24 January 1966,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Air India,106,11,117,0
Air India Flight 245,3 November 1950,"<a href=""/wiki/Controlled_Flight_into_Terrain"" class=""mw-redirect"" title=""Controlled Flight into Terrain"">Controlled Flight into Terrain</a> (CFIT) in poor weather",Air India,40,8,48,0
Pakistan International Airlines Flight 17,2 February 1966,Mechanical failure.,Pakistan International Airlines,21,3,23,1
All Nippon Airways Flight 60,"February 4, 1966","<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a>, Cause undetermined<sup id=""cite_ref-1"" class=""reference""><a href=""#cite_note-1"">[1]</a></sup>",All Nippon Airways,126,7,133,0
