title,date,summary,operator,passengers,crew,fatalities,survivors
Aeroflot Flight 65,17&#160;February&#160;1966,Crew and ATC errors,Aircraft registration,47,19,21,45
BOAC Flight 911,5 March 1966,In-flight break-up,BOAC,113,11,124,0
United Arab Airlines Flight 749,18 March 1966,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, poor weather",United Arab Airlines,25,5,30,0
American Flyers Flight 280,April 22 1966,Pilot incapacitation,American Flyers Airline,93,5,83,15
Ansett-ANA Flight 149,22 September 1966,"In-flight fire, wing failure",Ansett-ANA,20,4,24,0
West Coast Airlines Flight 956,"October 1, 1966","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",West Coast Airlines,13,5,18,0
Lake Central Flight 527,5&#160;March&#160;1967,Loss of control and aircraft break-up after catastrophic propeller failure,Lake Central Airlines,35,3,38,0
Varig Flight 837,,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> caused by <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Varig,71,19,56,39
South African Airways Flight 406,13&#160;March&#160;1967,"<a href=""/wiki/List_of_airliner_crashes_involving_loss_of_control"" class=""mw-redirect"" title=""List of airliner crashes involving loss of control"">Loss of control</a>, Pilot incapacitation",South African Airways,20,5,25,0
Stockport Air Disaster,4 June 1967,"<a href=""/wiki/Fuel_starvation"" title=""Fuel starvation"">Fuel starvation</a>",British Midland Airways,79,5,72,12
ČSA Flight 523,5&#160;September&#160;1965,"Failure to climb for undetermined reason, striking obstructions and impacting the ground.",CSA Ceskoslovenské Aerolinie,61,8,37,32
TWA Flight 159,6 November 1967,Takeoff abort with landing overshoot,Trans World Airlines,29,7,1,35
TWA Flight 128,20 November 1967,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a><sup id=""cite_ref-AAR_69-05_1-0"" class=""reference""><a href=""#cite_note-AAR_69-05-1"">[1]</a></sup>",Trans World Airlines,75,7,70,12
Air France Flight 212,6 March 1968,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Air France,52,11,63,0
BOAC Flight 712,8 April 1968,Fire in number 2 port engine,British Overseas Airways Corporation,116,11,5,122
South African Airways Flight 228,20 April 1968,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",South African Airways,116,12,123,5
Braniff Flight 352,"May 3, 1968","Pilot error, <a href=""/wiki/Thunderstorm"" title=""Thunderstorm"">thunderstorm</a>",Braniff International Airways,80,5,85,0
Los Angeles Airways Flight 841,"May 22, 1968",Mechanical Failure,Los Angeles Airways,20,3,23,0
Seaboard World Airlines Flight 253A,"July 1, 1968",Forced landing,Aircraft registration,214,24,0,238
1968 Heathrow BKS Air Transport Airspeed Ambassador crash,3 July 1968,Mechanical failure caused by metal fatigue,BKS Air Transport,5,3,6,2
Los Angeles Airways Flight 417,"August 14, 1968",Mechanical failure,Los Angeles Airways,18,3,21,0
Northeast Airlines Flight 946,"October 25, 1968",Pilot error,Northeast Airlines,39,3,32,10
Japan Airlines Flight 2,22&#160;November&#160;1968,Pilot error,Japan Airlines,96,11,0,107
"Wien Consolidated Airlines<br />
Flight 55",2 December 1968,"<a href=""/wiki/Structural_failure"" class=""mw-redirect"" title=""Structural failure"">Structural failure</a>",Wien Air Alaska,36,3,39,0
Allegheny Airlines Flight 736,"December 24, 1968","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a><sup id=""cite_ref-AAR-70-04_1-0"" class=""reference""><a href=""#cite_note-AAR-70-04-1"">[1]</a></sup>",Allegheny Airlines,41,6,20,27
North Central Airlines Flight 458,"December 27, 1968","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",North Central Airlines,41,4,28,18
MacRobertson Miller Airlines Flight 1750,31 December 1968,Metal fatigue caused by maintenance error,MacRobertson Miller Airlines,22,4,26,0
Ariana Afghan Airlines Flight 701,5 January 1969,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Ariana Afghan Airlines,54,8,50,14
Allegheny Airlines Flight 737,"January 6, 1969","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Allegheny Airlines,25,3,11,17
Scandinavian Airlines System Flight 933,"January&#160;13,&#160;1969","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> caused by <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Scandinavian Airlines System,36,9,15,30
United Airlines Flight 266,"January 18, 1969",Mechanical failure leading to loss of electrical power,United Airlines,32,6,38,0
Hawthorne Nevada Airlines Flight 708,"February 18, 1969","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Hawthorne Nevada Airlines (page does not exist),32,3,35,0
Far Eastern Transport Flight 104,24 February 1969,Engine failure,Far Eastern Air Transport,32,4,36,0
Prinair Flight 277,5&#160;March&#160;1969,"Controller error / <a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a>",Prinair,17,2,19,0
Viasa Flight 742,"March&#160;16,&#160;1969","Faulty runway temperature sensors, overweight",Viasa,74,10,155,0
1969 Aswan Ilyushin Il-18 crash,20 March 1969,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> in low visibility and poor weather",United Arab Airlines,98,7,100,5
LAN Chile Flight 160,28 April 1969,CFIT,LAN Airlines,52,8,0,60
1969 Yukhnov mid-air collision,23 June 1969,"<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",Soviet Air Forces,19,5,24,0
Allegheny Airlines Flight 853,"September 9, 1969","<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",Aircraft registration,78,4,82,0
Philippine Airlines Flight 158,12 September 1969,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Philippine Airlines,42,5,45,2
Mohawk Airlines Flight 411,"November 19, 1969","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Mohawk Airlines,11,3,14,0
Nigeria Airways Flight 825,20 November 1969,"Probable <a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a> due to pilot error",Nigeria Airways,76,11,87,0
Air France Flight 212,"December 3, 1969",Loss of control,Air France,41,21,62,0
Olympic Airways Flight 954,8 December 1969,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> (CFIT)",Olympic Airways,85,5,90,0
Dominicana Flight 603,"February&#160;15,&#160;1970",Engine failure followed by loss of control,Dominicana de Aviación,97,5,102,0
Swissair Flight 330,21&#160;February&#160;1970,Terrorist bombing,Swissair,38,9,47,0
Japan Airlines Flight 351,"March 31, 1970","<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Japan Airlines,122,7,0,129
Philippine Airlines Flight 215,"April 21, 1970",Bomb Explosion,Philippine Airlines,32,4,36,0
ALM Flight 980,2 May 1970,"<a href=""/wiki/Fuel_starvation"" title=""Fuel starvation"">Fuel exhaustion</a> due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Overseas National Airways,57,6,23,40
Dan-Air Flight 1903,3 July 1970,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Dan-Air,105,7,112,0
LANSA Flight 502,"August 9, 1970",Pilot error,Aircraft registration,92,8,101,1
China Airlines Flight 206,12 August 1970,"<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a>",China Airlines,26,5,14,17
Wichita State University Crash,"October 2, 1970","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Aircraft registration,37,3,31,9
Southern Airways Flight 932,"November 14, 1970","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain (CFIT)</a>",Southern Airways,71,4,75,0
Aviogenex Flight 130,23&#160;May&#160;1971,"Suffered hard landing due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>, optical illusion",Aviogenex,76,7,78,5
Hughes Airwest Flight 706,6 June 1971,"<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",United States Marine Corps,44,5,49,0
Allegheny Airlines Flight 485,"June 7, 1971","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Allegheny Airlines,28,3,28,3
Aeroflot Flight 1912,25 July 1971,"<a href=""/wiki/Landing"" title=""Landing"">Hard landing</a>",Aeroflot,118,8,97,29
"All Nippon Airways Flight 58<br />
JASDF 92-7932",30 July 1971,"<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",Japan Air Self-Defense Force,155,7,162,0
Alaska Airlines Flight 1866,"September 4, 1971","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Aircraft registration,104,7,111,0
Paninternational Flight 112,6 September 1971,Dual engine failure,Paninternational,115,6,22,99
BEA Flight 706,,"Explosive decompression, leading to structural failure and loss of control",British European Airways,55,8,63,0
1971 Indian Ocean Vickers Viscount crash,10 November 1971,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Merpati Nusantara Airlines,62,7,69,0
LANSA Flight 508,"December 24, 1971","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/Lightning_strike"" title=""Lightning strike"">Lightning strike</a>",Líneas Aéreas Nacionales S. A. (Peru),86,6,91,1
Iberia Airlines Flight 602,7 January 1972,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Iberia (airline),98,6,104,0
JAT Airways Flight 367,26 January 1972,Bombing,JAT Yugoslav Airlines,23,5,27,1
Lufthansa Flight 649,22–23 February 1972,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Lufthansa,177,15,0,192
Sterling Airways Flight 296,14 March 1972,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Sterling Airways,106,6,112,0
Alitalia Flight 112,5 May 1972,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a>",Alitalia,108,7,115,0
American Airlines Flight 96,"June 12, 1972","Cargo door failure due to design flaw leading to <a href=""/wiki/Uncontrolled_decompression"" title=""Uncontrolled decompression"">rapid decompression</a>",American Airlines,56,11,0,67
Japan Airlines Flight 471,"June 14, 1972","
<ul>
<li>False path of <a href=""/wiki/Flap_(aeronautics)"" title=""Flap (aeronautics)"">flaps</a> (Government of <a href=""/wiki/Japan"" title=""Japan"">Japan</a>)</li>
<li><a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> (Government of <a href=""/wiki/India"" title=""India"">India</a>)</li>
</ul>
",Japan Airlines,78,11,90,3
British European Airways Flight 548,18 June 1972,"<a href=""/wiki/Deep_stall"" class=""mw-redirect"" title=""Deep stall"">Deep stall</a>, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",British European Airways,112,6,118,0
Prinair Flight 191,24 June 1972,Pilot error,Prinair,18,2,5,15
Pan Am Flight 841,2&#160;July&#160;1972,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Pan American World Airways,136,17,1,152
Königs Wusterhausen air disaster,14 August 1972,On-board fire,Interflug,148,8,156,0
1972 Thandwe crash,16 August 1972,Unknown,Burma Airways,27,4,28,3
Aeroflot Flight 1036,1 October 1972,Unknown (possible bird strikes),Aeroflot,101,8,109,0
Aeroflot Flight 217,13&#160;October&#160;1972,"Undetermined (possible crew incapacitation, lightning strike, or mechanical failure)",Aeroflot,164,10,174,0
United Airlines Flight 553,"December 8, 1972","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a><sup id=""cite_ref-AAR-73-16_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-73-16_Final_Report-1"">[1]</a></sup>",United Airlines,55,6,45,18
"1972 Chicago–O'Hare<br />
runway collision","December&#160;20,&#160;1972","<a href=""/wiki/Runway_incursion"" title=""Runway incursion"">Runway incursion</a>, failures in communication",Delta Air Lines,41,4,10,35
Braathens SAFE Flight 239,23 December 1972,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Braathens SAFE,42,3,40,5
Eastern Air Lines Flight 401,"December&#160;29,&#160;1972","Pilot error; loss of situational awareness leading to <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">controlled flight into terrain</a>",Eastern Air Lines,163,13,101,75
Kano air disaster,22 January 1973,"Landing gear collapse, bad weather",Royal Jordanian,193,9,176,26
EgyptAir Flight 741,29 January 1973,Crash on approach,EgyptAir,30,7,37,0
Libyan Arab Airlines Flight 114,21 February 1973,"<a href=""/wiki/List_of_airliner_shootdown_incidents"" title=""List of airliner shootdown incidents"">Airliner shootdown</a>",Libyan Arab Airlines,104,9,108,5
Balkan Bulgarian Airlines Flight 307,3 March 1973,Unknown,Balkan Bulgarian Airlines,17,8,25,0
Invicta International Airlines Flight 435,10 April 1973,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Invicta International Airlines,139,6,108,37
Indian Airlines Flight 440,31 May 1973,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Indian Airlines,58,7,48,17
Pan Am Flight 816,"July 22, 1973","Crash on takeoff, spatial disorientation",Pan American World Airways,69,10,78,1
Japan Air Lines Flight 404,,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Japan Air Lines,118,22,1,106
Ozark Air Lines Flight 809,23 July 1973,"<a href=""/wiki/Windshear"" class=""mw-redirect"" title=""Windshear"">Windshear</a> accident",Ozark Air Lines,41,3,38,6
Delta Air Lines Flight 723,"July 31, 1973","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Delta Air Lines,83,6,89,0
Texas International Airlines Flight 655,27&#160;September&#160;1973,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Texas International Airlines,8,3,11,0
Aeroflot Flight 3932,30 September 1973,"<a href=""/wiki/Spatial_disorientation"" title=""Spatial disorientation"">Spatial disorientation</a> after electrical failure",Aeroflot,100,8,108,0
Aeroflot Flight 964,13 October 1973,"<a href=""/wiki/Spatial_disorientation"" title=""Spatial disorientation"">Spatial disorientation</a> after electrical failure",Aeroflot,114,8,122,0
National Airlines Flight 27,"November&#160;3,&#160;1973","<a href=""/wiki/Uncontained_engine_failure"" class=""mw-redirect"" title=""Uncontained engine failure"">Uncontained engine failure</a>",National Airlines (NA),116,12,1,127
Turkish Airlines Flight 301,"January&#160;26,&#160;1974","<a href=""/wiki/Atmospheric_icing"" title=""Atmospheric icing"">Atmospheric icing</a>, <a href=""/wiki/List_of_airliner_crashes_involving_loss_of_control"" class=""mw-redirect"" title=""List of airliner crashes involving loss of control"">Loss of control</a>",Turkish Airlines,68,5,66,7
Turkish Airlines Flight 981,3 March 1974,"Aircraft design flaw, cargo door failure leading to <a href=""/wiki/Uncontrolled_decompression"" title=""Uncontrolled decompression"">explosive decompression</a>, destruction of control systems, and loss of control",Turkish Airlines,334,12,346,0
1974 Sterling Airways Tehran Caravelle accident,15&#160;March&#160;1974,Starboard main landing gear collapsed during taxi due to structural failure,Sterling Airways,92,4,15,81
Court Line Flight 95,18 April 1974,Ground collision due to pilot error on the Aztec,Alfred McAlpine,86,5,0,91
Pan American Flight 812,"April 22, 1974","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>,instrument failure, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Pan American World Airways,96,11,107,0
TWA Flight 841,"September 8, 1974",Terrorist bombing,Trans World Airlines,79,9,88,0
Eastern Air Lines Flight 212,"September&#160;11,&#160;1974","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>,<br />
<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Eastern Air Lines,78,4,72,10
TWA Flight 514,"December 1, 1974","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Trans World Airlines,85,7,92,0
Martinair Flight 138,4 December 1974,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Martinair,182,9,191,0
Golden West Airlines Flight 261,"January 9, 1975",Mid-air collision,Aircraft registration,10,2,12,0
Turkish Airlines Flight 345,30 January 1975,"Impacted <a href=""/wiki/Sea_of_Marmara"" title=""Sea of Marmara"">Sea of Marmara</a> during <a href=""/wiki/Go-around"" title=""Go-around"">go-around</a>",Turkish Airlines,38,4,42,0
Western Air Lines Flight 470,"March 31, 1975","Runway overrun due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Western Air Lines,93,6,0,99
Eastern Air Lines Flight 66,"June 24, 1975","<a href=""/wiki/Microburst"" title=""Microburst"">Microburst</a>-induced <a href=""/wiki/Wind_shear"" title=""Wind shear"">wind shear</a><sup id=""cite_ref-AAR-76-08_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-76-08_Final_Report-1"">[1]</a></sup>",Eastern Air Lines,116,8,113,11
Agadir air disaster,"August 3, 1975","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Royal Jordanian,181,7,188,0
Wien Air Alaska: Flight 99,30 August 1975,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> in fog, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Wien Air Alaska,28,4,10,22
Taxi Aereo el Venado Douglas DC-4 accident,15 January 1976,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Taxi Aereo el Venado (page does not exist),10,3,13,0
Aeroflot Flight 3739,9&#160;February&#160;1976,crashed during takeoff,Aeroflot,104,10,24,90
Aeroflot Flight 909,6 March 1976,Loss of control following electrical failure,Aeroflot,100,11,111,0
American Airlines Flight 625,"April 27, 1976","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",American Airlines,81,7,37,51
Aeroflot Flight 1802,15&#160;May&#160;1976,Loss of control,Aeroflot,46,6,52,0
Aeroflot Flight 418,1&#160;June&#160;1976,Undetermined (possible radar failure),Aeroflot,42,4,46,0
"British Airways Flight 476<br />
Inex-Adria Aviopromet Flight 550",10 September 1976,"<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a> caused by <a href=""/wiki/Air_traffic_control"" title=""Air traffic control"">ATC</a> error",Adria Airways,54,9,63,0
Turkish Airlines Flight 452,19 September 1976,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Turkish Airlines,146,8,154,0
Indian Airlines Flight 171,12 October 1976,In-flight fire due to engine failure,Indian Airlines,89,6,95,0
Olympic Airways Flight 830,23 November 1976,Controlled flight into terrain,Olympic Airways,46,4,50,0
Aeroflot Flight 2415,28 November 1976,Crew disorientation as a result of artificial horizon failure,Aeroflot,67,6,73,0
Aeroflot Flight 3843,"January 13, 1977",Left engine fire,Aeroflot,82,8,90,0
Linjeflyg Flight 618,15 January 1977,"<a href=""/wiki/Atmospheric_icing"" title=""Atmospheric icing"">Atmospheric icing</a>",Skyline (Sweden),19,3,22,0
Aeroflot Flight 5003,15&#160;February&#160;1977,Pilot error,Aeroflot,92,6,77,15
"Tenerife airport disaster<br />
<span style=""font-weight:normal;""><small>KLM Flight 4805&#160;<b>·</b> Pan Am Flight 1736</small></span>","March 27, 1977","<a href=""/wiki/Runway_collision"" class=""mw-redirect"" title=""Runway collision"">Runway collision</a>",Pan American World Airways,234,14,248,0
Southern Airways Flight 242,"April 4, 1977","<a href=""/wiki/Turbine_engine_failure"" title=""Turbine engine failure"">Engine failure</a> in severe weather, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a><sup id=""cite_ref-AAR-78-03_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-78-03_Final_Report-1"">[1]</a></sup><sup class=""reference"" style=""white-space:nowrap;"">:41–42</sup>",Southern Airways,81,4,72,22
1977 Dan-Air/IAS Cargo Boeing 707 crash,14 May 1977,"<a href=""/wiki/Structural_failure#Aircraft"" class=""mw-redirect"" title=""Structural failure"">Structural failure</a>",Dan-Air,1,5,6,0
Aeroflot Flight 331,27 May 1977,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Aeroflot,61,9,69,2
Lufthansa Flight 181,13–18 October 1977,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Lufthansa,86,5,4,91
Convair 240 N55VM crash,"October 20, 1977, at 18:52 (",Engine failure due to fuel exhaustion. Aircraft destroyed on impact during emergency landing attempt.,"Addison, Texas",24,2,6,20
Transportes Aéreos Portugueses Flight 425,"November 19, 1977",Runway overrun,TAP Portugal,156,8,131,33
1977 Benghazi Libyan Arab Airlines Tu-154 crash,2 December 1977,"<a href=""/wiki/Fuel_exhaustion"" class=""mw-redirect"" title=""Fuel exhaustion"">Fuel exhaustion</a>",Libyan Arab Airlines,159,6,59,106
Malaysian Airline System Flight 653,4 December 1977,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Malaysia Airlines,93,7,100,0
United Airlines Flight 2860,"December 17, 1977","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>,ATC error, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Aircraft registration,0,3,3,0
SA de Transport Aérien (SATA) Flight 730,"December 18, 1977",Pilot error,SA de Transport Aérien,52,5,36,21
Pacific Western Airlines Flight 314,11 February 1978,"Runway incursion, thrust reverser deployment during go-around",Pacific Western Airlines,44,5,42,7
Continental Airlines Flight 603,"March 1, 1978","The left main landing gear collapsed during an aborted takeoff, after three tires failed on that gear",Continental Airlines,186,14,2,198
1978 LAV HS 748 accident,3&#160;March&#160;1978,Crashed after take-off with instrument problem,Línea Aeropostal Venezolana,43,4,47,0
Korean Air Lines Flight 902,20 April 1978,"<a href=""/wiki/List_of_airliner_shootdown_incidents"" title=""List of airliner shootdown incidents"">Airliner shootdown</a>",Korean Air,97,12,2,107
National Airlines Flight 193,"May&#160;8,&#160;1978","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",National Airlines (NA),52,6,3,55
Air Canada Flight 189,"June 26, 1978","Mechanical failure, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Air Canada,102,5,2,105
Helikopter Service Flight 165,26 June 1978,"<a href=""/wiki/Structural_failure"" class=""mw-redirect"" title=""Structural failure"">Structural failure</a>",Helikopter Service,16,2,18,0
LOT Polish Airlines Flight 165 hijacking,30 August 1978,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",LOT Polish Airlines,62,7,0,69
Air Rhodesia Flight 825,3 September 1978,Civilian airliner shootdown,Air Rhodesia,52,4,48,8
Pacific Southwest Airlines Flight 182,"September 25, 1978","<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a> resulting from <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a> and <a href=""/wiki/Air_traffic_control"" title=""Air traffic control"">ATC</a> error",Aircraft registration,128,7,135,0
Alitalia Flight 4128,"December 23, 1978","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Alitalia,124,5,108,21
Varig Flight 967,30 January 1979,"<a href=""/wiki/List_of_missing_aircraft"" title=""List of missing aircraft"">Disappearance</a>",Varig,0,6,6,0
Air Rhodesia Flight 827,12 February 1979,Civilian airliner shoot-down during wartime,Air Rhodesia,55,4,59,0
Air Rhodesia Flight 825,3 September 1978,Civilian airliner shootdown,Air Rhodesia,52,4,48,8
Alia Royal Jordanian Flight 600,13 March 1979,"<a href=""/wiki/Microburst"" title=""Microburst"">Microburst</a>-induced <a href=""/wiki/Wind_shear"" title=""Wind shear"">wind shear</a>",Alia Royal Jordanian Airlines,49,15,45,19
Aeroflot Flight 1691,"March 17, 1979",False fire alarm on engine in takeoff led to crash after attempting to return to airport.,Aeroflot,113,6,58,61
Quebecair Flight 255,29 March 1979,Engine separation,Quebecair,21,3,17,7
1979 TWA Flight 841,"April 4, 1979","Uncontrolled descent<sup id=""cite_ref-AAR-81-08_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-81-08_Final_Report-1"">[1]</a></sup>",Trans World Airlines,82,7,0,89
American Airlines Flight 191,"May 25, 1979","Loss of control caused by engine detachment due to improper maintenance<sup id=""cite_ref-NTSB_AAR-79-17_Final_Report_1-0"" class=""reference""><a href=""#cite_note-NTSB_AAR-79-17_Final_Report-1"">[1]</a></sup>",American Airlines,258,13,273,0
Air New England Flight 248,17 June 1979,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> (CFIT)",Air New England,8,2,1,9
1979 Garuda Fokker F28 crash,11 July 1979,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Garuda Indonesia,57,4,61,0
Dan-Air Flight 0034,31 July 1979,"<a href=""/w/index.php?title=Maintenance_error&amp;action=edit&amp;redlink=1"" class=""new"" title=""Maintenance error (page does not exist)"">Maintenance error</a> (Accidental engagement of <a href=""/wiki/Gust_lock"" title=""Gust lock"">gust lock</a>)",Dan-Air Services Ltd,44,3,17,30
Swissair Flight 316,7&#160;October&#160;1979,"Runway overrun caused by <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Swissair,142,12,14,140
Air New Zealand Flight 901,28 November 1979,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Air New Zealand,237,20,257,0
1979 Turkish Airlines Ankara crash,"December 23, 1979","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Turkish Airlines,41,4,41,4
Dan-Air Flight 1008,25 April 1980,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> (CFIT)",Dan-Air Services Ltd,138,8,146,0
Aeroflot Flight 4225,"July 8, 1980","Windshear, loss of airspeed due to thermal currents causing a stall",Aeroflot,156,10,166,0
