title,year,summary,operator,passengers,crew,fatalities,survivors
Henan Airlines Flight 8387,2010,,Henan Airlines,91,5,44,52
"Filair flight, number unknown",2010,,Filair,18,3,20,1
UPS Airlines Flight 6,2010,,UPS Airlines,0,2,2,0
Aero Caribbean Flight 883,2010,,Aero Caribbean,61,7,68,0
Qantas Flight 32,2010,,Qantas,440,29,0,469
Zalingei Tarco Airlines Antonov An-24 crash,2010,,Tarco Airlines,36,6,1,32
Dagestan Airlines Flight 372,2010,,Dagestan Airlines,160,8,2,166
Kolavia Flight 348,2011,,Kogalymavia,116,8,3,131
Iran Air Flight 277,2011,,Iran Air,93,12,78,27
Manx2 Flight 7100,2011,,Aircraft registration,10,2,6,6
Southwest Airlines Flight 812,2011,,Southwest Airlines,117,5,0,123
2011 United Nations Bombardier CRJ-100 crash,2011,,Georgian Airways,29,4,32,1
Merpati Nusantara Airlines Flight 8968,2011,,Merpati Nusantara Airlines,19,6,25,0
Sol Líneas Aéreas Flight 5428,2011,,Sol Líneas Aéreas,19,3,22,0
RusAir Flight 9605,2011,,RusAir,43,9,47,5
Hewa Bora Airways Flight 952,2011,,Hewa Bora Airways,112,6,74,44
Noar Linhas Aéreas Flight 4896,2011,,Noar Linhas Aéreas,14,2,16,0
Caribbean Airlines Flight 523,2011,,Caribbean Airlines,157,6,0,163
First Air Flight 6560,2011,,First Air,11,4,12,3
Lokomotiv Yaroslavl air disaster,2011,,Yak-Service,37,8,44,1
Airlines PNG Flight 1600,2011,,Airlines PNG,29,3,28,4
LOT Polish Airlines Flight 16,2011,,LOT Polish Airlines,220,11,0,231
UTAir Flight 120,2012,,UTair Aviation,39,4,33,10
Bhoja Air Flight 213,2012,,Bhoja Air,121,6,127,0
Mount Salak Sukhoi Superjet 100 crash,2012,,Sukhoi,37,8,45,0
2012 Agni Air Dornier 228 crash,2012,,Agni Air,18,3,15,6
Dana Air Flight 992,2012,,Dana Air,147,6,163,0
Sita Air Flight 601,2012,,Sita Air,16,3,19,0
2012 Aéro-Service Ilyushin Il-76T crash,2012,,Air Highnesses (page does not exist),1,5,32,0
Air Bagan Flight 011,2012,,Air Bagan,65,6,2,70
Red Wings Airlines Flight 9268,2012,,Red Wings Airlines,0,8,5,3
Lion Air Flight 904,2013,,Lion Air,101,7,0,108
Nepal Airlines Flight 555,2013,,Nepal Airlines,18,3,0,21
Merpati Nusantara Airlines Flight 6517,2013,,Merpati Nusantara Airlines,46,4,0,50
Asiana Airlines Flight 214,2013,,Asiana Airlines,291,16,3,304
UPS Airlines Flight 1354,2013,,UPS Airlines,0,2,2,0
Lao Airlines Flight 301,2013,,Lao Airlines,44,5,49,0
Tatarstan Airlines Flight 363,2013,,Tatarstan Airlines,44,6,50,0
LAM Mozambique Airlines Flight 470,2013,,LAM Mozambique Airlines,27,6,33,0
Nepal Airlines Flight 183,2014,,Nepal Airlines,15,3,18,0
Malaysia Airlines Flight 17,2014,,Malaysia Airlines,283,15,298,0
TransAsia Airways Flight 222,2014,,TransAsia Airways,54,4,48,10
Sepahan Airlines Flight 5915,2014,,Sepahan Airlines,40,8,39,9
Indonesia AirAsia Flight 8501,2014,,Indonesia AirAsia,156,6,162,0
TransAsia Airways Flight 235,2015,,TransAsia Airways,53,5,43,15
Delta Air Lines Flight 1086,2015,,Delta Air Lines,127,5,0,132
Germanwings Flight 9525,2015,,Germanwings,144,6,150,0
Turkish Airlines Flight 1878,2015,,Turkish Airlines,97,5,0,102
Trigana Air Service Flight 267,2015,,Trigana Air Service,49,5,54,0
British Airways Flight 2276,2015,,British Airways,157,13,0,170
Aviastar Flight 7503,2015,,Aviastar (Indonesia),7,3,10,0
Dynamic Airways Flight 405,2015,,Dynamic Airways,90,11,0,101
Metrojet Flight 9268,2015,,Metrojet (Russian airline),217,7,224,0
2015 Juba An-12 crash,2015,,Aircraft registration,13,6,37,2
Daallo Airlines Flight 159,2016,,Daallo Airlines,74,7,1,80
Tara Air Flight 193,2016,,Tara Air,20,3,23,0
2016 Air Kasthamandap crash,2016,,List of airlines of Nepal,9,2,2,9
Flydubai Flight 981,2016,,Flydubai,55,7,62,0
EgyptAir Flight 181,2016,,EgyptAir,56,7,0,63
Batik Air Flight 7703,2016,,TransNusa Air Services,49,7,0,56
2016 Sunbird Aviation crash,2016,,Aircraft registration,11,1,12,0
EgyptAir Flight 804,2016,,EgyptAir,56,10,66,0
Singapore Airlines Flight 368,2016,,Singapore Airlines,222,19,0,241
Emirates Flight 521,2016,,Emirates (airline),282,18,1,300
ASL Hungary Flight 7332,2016,,ASL Airlines Hungary,0,2,0,2
Southwest Airlines Flight 3472,2016,,Southwest Airlines,99,5,0,104
American Airlines Flight 383,2016,,American Airlines,161,9,0,170
LaMia Flight 2933,2016,,LaMia,73,4,71,6
Pakistan International Airlines Flight 661,2016,,Pakistan International Airlines,42,5,47,0
2017 South Supreme Airlines Antonov An-26 crash,2017,,South Supreme Airlines,40,5,0,45
Peruvian Airlines Flight 112,2017,,Peruvian Airlines,141,9,0,150
Air Canada Flight 759,2017,,Air Canada,135,5,0,140
Air France Flight 66,2017,,Air France,497,24,0,521
Air France Flight 66,2017,,Air France,497,24,0,521
