title,year,summary,operator,passengers,crew,fatalities,survivors
"<a href=""/wiki/Sabena"" title=""Sabena"">Sabena</a> Flight SN548",1961,,Sabena,61,11,73,0
LAN Chile Flight 621,1961,,LAN Airlines,20,4,24,0
Holtaheia Accident,1961,,British Eagle,36,3,39,0
TWA Flight 529,1961,,Trans World Airlines,73,5,78,0
1961 President Airlines Douglas DC-6 crash,1961,,Aircraft registration,77,6,83,0
1961 Ndola United Nations DC-6 crash,1961,,Transair Sweden,11,5,16,0
Imperial Airlines Flight 201/8,1961,,Imperial Airlines,74,5,77,2
Aerolíneas Argentinas Flight 322,1961,,Aerolíneas Argentinas,40,12,52,0
Ansett-ANA Flight 325,1961,,Ansett-ANA,11,4,15,0
Flying Tiger Line Flight 739,1962,,Flying Tiger Line,96,11,107,0
1962 Channel Airways Dakota accident,1962,,East Anglian Flying Services,15,3,12,5
Continental Airlines Flight 11,1962,,Continental Airlines,37,8,45,0
Aeroflot Flight 3,1962,,Aeroflot,79,7,86,0
1962 LOT Vickers Viscount Warsaw crash,1962,,LOT Polskie Linie Lotnicze,28,5,33,0
Civil Air Transport Flight 106,1964,,Civil Air Transport,52,5,57,0
Bonanza Air Lines Flight 114,1964,,Bonanza Air Lines,26,3,29,0
British United Airways Flight 1030X,1965,,Jersey Airlines,23,4,26,1
1965 Skyways Coach-Air Avro 748 crash,1965,,Skyways Coach-Air,48,4,0,52
Aeroflot Flight 65,1966,,Aircraft registration,47,19,21,45
Ansett-ANA Flight 149,1966,,Ansett-ANA,20,4,24,0
West Coast Airlines Flight 956,1966,,West Coast Airlines,13,5,18,0
Lake Central Flight 527,1967,,Lake Central Airlines,35,3,38,0
Varig Flight 837,1967,,Varig,71,19,56,39
South African Airways Flight 406,1967,,South African Airways,20,5,25,0
Stockport Air Disaster,1967,,British Midland Airways,79,5,72,12
ČSA Flight 523,1965,,CSA Ceskoslovenské Aerolinie,61,8,37,32
TWA Flight 159,1967,,Trans World Airlines,29,7,1,35
TWA Flight 128,1967,,Trans World Airlines,75,7,70,12
Air France Flight 212,1968,,Air France,52,11,63,0
South African Airways Flight 228,1968,,South African Airways,116,12,123,5
1968 Heathrow BKS Air Transport Airspeed Ambassador crash,1968,,BKS Air Transport,5,3,6,2
Los Angeles Airways Flight 417,1968,,Los Angeles Airways,18,3,21,0
Japan Airlines Flight 2,1968,,Japan Airlines,96,11,0,107
"Wien Consolidated Airlines<br />
Flight 55",1968,,Wien Air Alaska,36,3,39,0
Allegheny Airlines Flight 736,1968,,Allegheny Airlines,41,6,20,27
MacRobertson Miller Airlines Flight 1750,1968,,MacRobertson Miller Airlines,22,4,26,0
Ariana Afghan Airlines Flight 701,1969,,Ariana Afghan Airlines,54,8,50,14
Allegheny Airlines Flight 737,1969,,Allegheny Airlines,25,3,11,17
Scandinavian Airlines System Flight 933,1969,,Scandinavian Airlines System,36,9,15,30
Prinair Flight 277,1969,,Prinair,17,2,19,0
Viasa Flight 742,1969,,Viasa,74,10,155,0
1969 Aswan Ilyushin Il-18 crash,1969,,United Arab Airlines,98,7,100,5
1969 Yukhnov mid-air collision,1969,,Soviet Air Forces,19,5,24,0
Allegheny Airlines Flight 853,1969,,Aircraft registration,78,4,82,0
Mohawk Airlines Flight 411,1969,,Mohawk Airlines,11,3,14,0
1970 Spantax Convair crash,1970,,Spantax,7,3,5,5
Dominicana Flight 603,1970,,Dominicana de Aviación,97,5,102,0
Swissair Flight 330,1970,,Swissair,38,9,47,0
Dan-Air Flight 1903,1970,,Dan-Air,105,7,112,0
LANSA Flight 502,1970,,Aircraft registration,92,8,101,1
Wichita State University Crash,1970,,Aircraft registration,37,3,31,9
Southern Airways Flight 932,1970,,Southern Airways,71,4,75,0
Aviogenex Flight 130,1971,,Aviogenex,76,7,78,5
Aeroflot Flight 1912,1971,,Aeroflot,118,8,97,29
BEA Flight 706,1971,,British European Airways,55,8,63,0
Prinair Flight 191,1972,,Prinair,18,2,5,15
Pan Am Flight 841,1972,,Pan American World Airways,136,17,1,152
Aeroflot Flight 1036,1972,,Aeroflot,101,8,109,0
Aeroflot Flight 217,1972,,Aeroflot,164,10,174,0
"1972 Chicago–O'Hare<br />
runway collision",1972,,Delta Air Lines,41,4,10,35
Braathens SAFE Flight 239,1972,,Braathens SAFE,42,3,40,5
Eastern Air Lines Flight 401,1972,,Eastern Air Lines,163,13,101,75
Kano air disaster,1973,,Royal Jordanian,193,9,176,26
EgyptAir Flight 741,1973,,EgyptAir,30,7,37,0
Pan Am Flight 816,1973,,Pan American World Airways,69,10,78,1
